atm_total_variance,log_moneyness,total_variance,implied_volatility_30d
0.00012429863013698627,-0.6,0.008536489709967954,0.32227414541754684
0.00012429863013698627,-0.5499999999999999,0.007833395976951887,0.30871721318964596
0.00012429863013698627,-0.5,0.007130306455539828,0.29453702971907386
0.00012429863013698627,-0.44999999999999996,0.006427222536567997,0.27963882812461976
0.00012429863013698627,-0.4,0.00572414629900294,0.26390107989775724
0.00012429863013698627,-0.35,0.005021080995553942,0.247163546622959
0.00012429863013698627,-0.3,0.0043180320170587,0.22920745233859113
0.00012429863013698627,-0.25,0.0036150089945463453,0.20972031240117683
0.00012429863013698627,-0.2,0.002912030987596658,0.18822781502501876
0.00012429863013698627,-0.15000000000000002,0.002209141755996242,0.1639447814497947
0.00012429863013698627,-0.10000000000000003,0.0015064689051537724,0.1353835477918356
0.00012429863013698627,-0.050000000000000044,0.0008046082853749637,0.09894140086634812
0.00012429863013698627,0.0,0.00012429863013698627,0.03888830158286679
0.00012429863013698627,0.04999999999999993,0.0002093074065756166,0.05046358535290573
0.00012429863013698627,0.09999999999999998,0.00038849343324269097,0.06875078257338414
0.00012429863013698627,0.1499999999999999,0.0005687793482685821,0.08318743136596868
0.00012429863013698627,0.19999999999999996,0.0007493242592239269,0.09548182281054571
0.00012429863013698627,0.25,0.0009299702789448825,0.10637028905587032
0.00012429863013698627,0.29999999999999993,0.0011106661700946649,0.1162458819463515
0.00012429863013698627,0.35,0.0012913903101959034,0.12534717962809064
0.00012429863013698627,0.3999999999999999,0.0014721319974989949,0.13383175745279757
0.00012429863013698627,0.44999999999999984,0.001652885329604127,0.14181010134513294
0.00012429863013698627,0.4999999999999999,0.0018336467843506528,0.14936321237038125
0.00012429863013698627,0.5499999999999999,0.0020144141298939072,0.15655256384691546
0.00012429863013698627,0.6,0.0021951858834209606,0.16342611454401962
0.001984862465753424,-0.6,0.03190766584019302,0.6230649519825482
0.001984862465753424,-0.5499999999999999,0.029383059823381127,0.5979079314725668
0.001984862465753424,-0.5,0.026858729823114286,0.571647804900789
0.001984862465753424,-0.44999999999999996,0.024334763995475968,0.5441258695788666
0.001984862465753424,-0.4,0.021811292472599803,0.5151414612349676
0.001984862465753424,-0.35,0.0192885156893577,0.4844346611125027
0.001984862465753424,-0.3,0.01676675918629405,0.4516586876170002
0.001984862465753424,-0.25,0.014246589011734152,0.4163333996243462
0.001984862465753424,-0.2,0.011729083242509309,0.3777616260516632
0.001984862465753424,-0.15000000000000002,0.009216575975259348,0.33486565619512065
0.001984862465753424,-0.10000000000000003,0.006715209675216032,0.28583512330560146
0.001984862465753424,-0.050000000000000044,0.004247643551045243,0.22733161505691152
0.001984862465753424,0.0,0.0019848624657534237,0.15539999999999995
0.001984862465753424,0.04999999999999993,0.0013362295193796421,0.12750474168615186
0.001984862465753424,0.09999999999999998,0.0018259954892479594,0.1490512611570826
0.001984862465753424,0.1499999999999999,0.0024305998418065133,0.1719659794125355
0.001984862465753424,0.19999999999999996,0.003059418630014439,0.19293244067594148
0.001984862465753424,0.25,0.0036970759153602097,0.2120874590906997
0.001984862465753424,0.29999999999999993,0.004338917600236435,0.22976110231327226
0.001984862465753424,0.35,0.004983065230840764,0.24622610268185616
0.001984862465753424,0.3999999999999999,0.005628617292334773,0.2616897215980656
0.001984862465753424,0.44999999999999984,0.006275087666273175,0.27630942788775226
