date,regime,rho,target_skewness,fitted_skewness,skewness_error,feasible
2011-02-04,Unconstrained,-0.19229413542349946,-2.745,-2.7449999999999948,5.329070518200751e-15,True
2011-02-07,Unconstrained,-0.19487731161355462,-2.7629999999999995,-2.762999999999986,1.3322676295501878e-14,True
2011-02-08,Unconstrained,-0.21592163909915707,-2.9539999999999993,-2.9539999999999997,-4.440892098500626e-16,True
2011-02-10,Unconstrained,-0.21302548225441506,-2.924000000000001,-2.924,8.881784197001252e-16,True
2011-02-11,Unconstrained,-0.2364935188692123,-3.1310000000000002,-3.130999999999999,1.3322676295501878e-15,True
2011-02-14,Unconstrained,-0.19187532915200312,-2.7409999999999997,-2.7409999999999943,5.329070518200751e-15,True
2011-02-15,Unconstrained,-0.24417071119367936,-3.178,-3.1779999994312464,5.687534887499623e-10,True
2011-02-16,Unconstrained,-0.23183670908149495,-3.069,-3.0689999999999995,4.440892098500626e-16,True
2011-02-17,Unconstrained,-0.2348829413568572,-3.097,-3.097,0.0,True
2011-02-18,Unconstrained,-0.3051450960717661,-3.6430000000000007,-3.642999999999998,2.6645352591003757e-15,True
2011-02-22,Unconstrained,-0.1836778533139671,-2.5900000000000007,-2.5899999999955106,4.490186000793983e-12,True
2011-02-23,Unconstrained,-0.16978469764369236,-2.4530000000000003,-2.452999999978287,2.171329782640896e-11,True
2011-02-24,Unconstrained,-0.1697521548361626,-2.468000000000001,-2.467999999985161,1.4839685036349692e-11,True
2011-02-25,Unconstrained,-0.21522026719932982,-2.875999999999999,-2.875999999999955,4.39648317751562e-14,True
2011-02-28,Unconstrained,-0.22026960003589854,-2.9370000000000003,-2.9369999999999936,6.661338147750939e-15,True
2011-03-01,Unconstrained,-0.14205295995277004,-2.2430000000000008,-2.242999999969063,3.093791889341446e-11,True
2011-03-02,Unconstrained,-0.14901980738132878,-2.306,-2.305999999978639,2.1361135082997862e-11,True
2011-03-03,Unconstrained,-0.17669644849132007,-2.5709999999999993,-2.5709999999988336,1.1657341758564144e-12,True
2011-03-04,Unconstrained,-0.17978599351480656,-2.5900000000000007,-2.5899999999983776,1.6231460620019789e-12,True
2011-03-07,Unconstrained,-0.14766412216503816,-2.2950000000000004,-2.294999999978915,2.1085355683680973e-11,True
2011-03-08,Unconstrained,-0.151369973404443,-2.3370000000000006,-2.336999999991138,8.8626883609777e-12,True
2011-03-09,Unconstrained,-0.142984263825952,-2.2599999999999993,-2.2599999999853173,1.468203336685292e-11,True
2011-03-10,Unconstrained,-0.10624226636980433,-1.9260000000000006,-1.9259999999444022,5.5598414760993364e-11,True
2011-03-11,Unconstrained,-0.09751370023624091,-1.8540000000000005,-1.8539999999994303,5.702105454474804e-13,True
2011-03-14,Unconstrained,-0.1315695087504322,-2.1519999999999997,-2.15199999996287,3.7129854746353885e-11,True
2011-03-15,Unconstrained,-0.14042674926682125,-2.1819999999999995,-2.181999999824767,1.7523271722552636e-10,True
2011-03-16,Unconstrained,-0.16436818362748695,-2.2459999999999996,-2.2459999999282663,7.173328597787076e-11,True
2011-03-17,Unconstrained,-0.2025614901165348,-2.5849999999999995,-2.5849999999977515,2.247979580261017e-12,True
2011-03-18,Unconstrained,-0.20812620696174147,-2.681,-2.6809999999991563,8.43769498715119e-13,True
2011-03-21,Unconstrained,-0.16714203316771434,-2.4590000000000005,-2.4589999999890906,1.0909939618386488e-11,True
2011-03-22,Unconstrained,-0.12281522131671725,-2.0829999999999997,-2.082999999989407,1.0592859922553544e-11,True
2011-03-23,Unconstrained,-0.12129361798955672,-2.075,-2.0749999999990942,9.059419880941277e-13,True
2011-03-24,Unconstrained,-0.11261505247588616,-1.9969999999999999,-1.996999999999997,2.886579864025407e-15,True
2011-03-25,Unconstrained,-0.1281229761727864,-2.1430000000000007,-2.1430000000000002,4.440892098500626e-16,True
2011-03-28,Unconstrained,-0.14299631478154604,-2.2680000000000007,-2.2679999999945357,5.4649618164148706e-12,True
2011-03-29,Unconstrained,-0.1577291237822636,-2.411,-2.41099999999921,7.900347043232614e-13,True
2011-03-30,Unconstrained,-0.15049498683531012,-2.35,-2.3499999999998327,1.674216321134736e-13,True
2011-03-31,Unconstrained,-0.16319348040018405,-2.464,-2.4639999999996287,3.7125857943465235e-13,True
2011-04-01,Unconstrained,-0.20885726048681658,-2.8639999999999985,-2.86399999999998,1.865174681370263e-14,True
2011-04-04,Unconstrained,-0.20206797307939978,-2.805000000000001,-2.804999999999954,4.707345624410664e-14,True
2011-04-05,Unconstrained,-0.20118436319829575,-2.802000000000001,-2.8019999999999503,5.062616992290714e-14,True
2011-04-06,Unconstrained,-0.1682520588375569,-2.5180000000000007,-2.517999999999958,4.263256414560601e-14,True
2011-04-07,Unconstrained,-0.1828993855726105,-2.6459999999999995,-2.645999999999906,9.325873406851315e-14,True
2011-04-08,Unconstrained,-0.17791165793708444,-2.592,-2.5919999999995564,4.4364512064021255e-13,True
2011-04-11,Unconstrained,-0.14370546203647258,-2.2939999999999996,-2.2939999999999996,0.0,True
2011-04-12,Unconstrained,-0.1332791999388432,-2.194,-2.1939999999999986,1.3322676295501878e-15,True
2011-04-13,Unconstrained,-0.16132553339850036,-2.4549999999999996,-2.4549999999999748,2.4868995751603507e-14,True
2011-04-14,Unconstrained,-0.16662131496520743,-2.5090000000000003,-2.5089999999999995,8.881784197001252e-16,True
2011-04-15,Unconstrained,-0.2254305903943081,-3.044999999999999,-3.045,-8.881784197001252e-16,True
2011-04-18,Unconstrained,-0.21653002674656088,-2.9370000000000003,-2.936999999999997,3.1086244689504383e-15,True
2011-04-19,Unconstrained,-0.21434028449042875,-2.9400000000000004,-2.9399999999999986,1.7763568394002505e-15,True
2011-04-20,Unconstrained,-0.2327889608025967,-3.1129999999999995,-3.113000000000002,-2.6645352591003757e-15,True
2011-04-21,Unconstrained,-0.23947546195963956,-3.178,-3.1779999989110848,1.0889151802473407e-09,True
2011-04-25,Unconstrained,-0.23157158752078477,-3.0879999999999996,-3.088,-4.440892098500626e-16,True
2011-04-26,Unconstrained,-0.19184213787665944,-2.745,-2.745,0.0,True
2011-04-27,Unconstrained,-0.1857456963088792,-2.6930000000000005,-2.693000000000002,-1.3322676295501878e-15,True
2011-04-28,Unconstrained,-0.16434362834658883,-2.4989999999999997,-2.4990000000000006,-8.881784197001252e-16,True
2011-04-29,Unconstrained,-0.1907043748180376,-2.745,-2.7450000000000006,-4.440892098500626e-16,True
2011-05-02,Unconstrained,-0.15627048182337627,-2.4150000000000005,-2.4150000000000023,-1.7763568394002505e-15,True
2011-05-03,Unconstrained,-0.19399045148228228,-2.7489999999999997,-2.7489999999999664,3.3306690738754696e-14,True
2011-05-04,Unconstrained,-0.16968150774360696,-2.529000000000001,-2.528999999999917,8.393286066166183e-14,True
2011-05-05,Unconstrained,-0.16660828825898927,-2.489,-2.4889999999991224,8.775202786637237e-13,True
2011-05-06,Unconstrained,-0.16368876521196182,-2.461,-2.460999999998774,1.2256862191861728e-12,True
2011-05-09,Unconstrained,-0.16288532465233946,-2.467,-2.466999999999929,7.105427357601002e-14,True
2011-05-10,Unconstrained,-0.1787210810388255,-2.623,-2.6229999999999998,4.440892098500626e-16,True
2011-05-11,Unconstrained,-0.13165170354393554,-2.1790000000000007,-2.179000000000002,-1.3322676295501878e-15,True
2011-05-12,Unconstrained,-0.13981589992064164,-2.2590000000000003,-2.2590000000000017,-1.3322676295501878e-15,True
2011-05-13,Unconstrained,-0.13284881819992,-2.1900000000000004,-2.190000000000001,-4.440892098500626e-16,True
2011-05-16,Unconstrained,-0.15187711417304625,-2.3579999999999997,-2.35799999999921,7.895906151134113e-13,True
2011-05-17,Unconstrained,-0.12492208172996097,-2.114,-2.1140000000000008,-8.881784197001252e-16,True
2011-05-18,Unconstrained,-0.1745738151641646,-2.5819999999999994,-2.581999999999995,4.440892098500626e-15,True
2011-05-19,Unconstrained,-0.18849013416970947,-2.7159999999999997,-2.7159999999999984,1.3322676295501878e-15,True
2011-05-20,Unconstrained,-0.21505281401993773,-2.9150000000000005,-2.914999999999994,6.661338147750939e-15,True
2011-05-23,Unconstrained,-0.16545044873563391,-2.478,-2.477999999998994,1.0063061495202419e-12,True
2011-05-24,Unconstrained,-0.14651801947917928,-2.3129999999999997,-2.3129999999998385,1.6120438317557273e-13,True
2011-05-25,Unconstrained,-0.1434122834081895,-2.289,-2.289,0.0,True
2011-05-26,Unconstrained,-0.17015502452516013,-2.5430000000000006,-2.5430000000000006,0.0,True
2011-05-27,Unconstrained,-0.1502081063133638,-2.3579999999999997,-2.358,-4.440892098500626e-16,True
2011-05-31,Unconstrained,-0.15343875616761848,-2.3909999999999996,-2.3909999999999987,8.881784197001252e-16,True
2011-06-01,Unconstrained,-0.10587471817585363,-1.9329999999999998,-1.932999999999998,1.7763568394002505e-15,True
2011-06-02,Unconstrained,-0.10452708999918568,-1.9200000000000004,-1.9200000000000026,-2.220446049250313e-15,True
2011-06-03,Unconstrained,-0.0798752412552659,-1.6799999999999997,-1.6800000000008863,-8.8662410746565e-13,True
2011-06-06,Unconstrained,-0.07159288566858331,-1.6019999999999996,-1.6020000000012145,-1.2148060335448463e-12,True
2011-06-07,Unconstrained,-0.07241051331547371,-1.6069999999999993,-1.6070000000022389,-2.2395418852738658e-12,True
2011-06-08,Unconstrained,-0.09983722249335458,-1.8760000000000006,-1.8760000000000003,2.220446049250313e-16,True
2011-06-09,Unconstrained,-0.08475382238347744,-1.7269999999999996,-1.727000000000566,-5.664357871637549e-13,True
2011-06-10,Unconstrained,-0.14208440053604754,-2.2650000000000006,-2.2649999999980084,1.992184195387381e-12,True
2011-06-13,Unconstrained,-0.1241851733393747,-2.0989999999999993,-2.0989999999962214,3.777866908194483e-12,True
2011-06-14,Unconstrained,-0.17138880727850356,-2.53,-2.5299999999991267,8.730793865652231e-13,True
2011-06-15,Unconstrained,-0.16531324021191912,-2.4319999999999995,-2.431999999981444,1.8555379455165166e-11,True
2011-06-16,Unconstrained,-0.14390026244385185,-2.2349999999999994,-2.234999999912481,8.751843694199124e-11,True
