date,regime,rho,eta,gamma,butterfly_free,calendar_free,arbitrage_free,min_butterfly_g,butterfly_violations,calendar_violations,min_calendar_slope,density_mass_VIX9D,density_mass_VIX,density_mass_VIX3M,density_mass_VIX6M,density_mass_VIX1Y,sufficient_conditions_hold,max_condition_1,max_condition_2,max_density_mass_error,density_valid
2011-01-07,Unconstrained,-0.12568665856885192,1.265196246307268,0.6284771340583136,True,True,True,0.12750321479342333,0,0,0.0018590923561643833,1.0000000000000735,1.000000000464686,1.0000000529783095,1.000000303665631,1.0000008903674895,False,0.5049789982970226,12.359886474777673,8.90367489514432e-07,True
2011-01-10,Unconstrained,-0.1284250190293829,1.265196246307268,0.6284771340583136,True,True,True,0.13234180697173956,0,0,0.0019123131780821917,1.0000000000001723,1.0000000005820953,1.0000000559998785,1.0000003061821965,1.0000009090390525,False,0.5095145614911321,12.063152536667994,9.090390524768566e-07,True
2011-01-11,Unconstrained,-0.13692359393016906,1.265196246307268,0.6284771340583136,True,True,True,0.12300354250077516,0,0,0.0017950736712328765,1.0000000000000833,1.000000000457753,1.0000000540118337,1.0000003040976777,1.0000008996713097,False,0.5097415758030244,12.51765187284325,8.996713096731668e-07,True
2011-01-12,Unconstrained,-0.1330791248508609,1.265196246307268,0.6284771340583136,True,True,True,0.12320183530107306,0,0,0.001626146958904109,1.000000000000069,1.0000000003109926,1.0000000427189895,1.0000002714125618,1.0000008405289937,False,0.49642670349323187,12.52289968678663,8.405289937396532e-07,True
2011-01-13,Unconstrained,-0.1263443468088606,1.265196246307268,0.6284771340583136,True,True,True,0.1263841763382503,0,0,0.0016590425753424663,1.0000000000000675,1.0000000003149316,1.000000040986141,1.000000265381346,1.0000008326498726,False,0.4931964248451518,12.40545079560384,8.326498726063392e-07,True
2011-01-14,Unconstrained,-0.1493567465937287,1.265196246307268,0.6284771340583136,True,True,True,0.11333157888907341,0,0,0.00146025698630137,1.0000000000000528,1.000000000235488,1.0000000372083973,1.000000260203646,1.000000840098203,False,0.5001278878928825,12.938483902818424,8.400982030032367e-07,True
2011-01-18,Unconstrained,-0.20020599753528565,1.265196246307268,0.6284771340583136,True,True,True,0.11475889402527564,0,0,0.0014117113972602735,1.00000000000091,1.0000000004950047,1.0000000480607811,1.000000296354687,1.000000874260254,False,0.5194081315563873,12.614530520810874,8.742602539690836e-07,True
2011-01-19,Unconstrained,-0.14919068269990318,1.265196246307268,0.6284771340583136,True,True,True,0.1399077405833773,0,0,0.0016867711232876708,1.0000000000012657,1.0000000006367085,1.000000051035511,1.000000287227433,1.000000858580376,False,0.5040558358535586,11.577695416361252,8.585803759064703e-07,True
2011-01-20,Unconstrained,-0.1812279636642271,1.265196246307268,0.6284771340583136,True,True,True,0.1253047933152198,0,0,0.0019491286027397252,1.0000000000011497,1.0000000011686683,1.000000062846107,1.0000003163419815,1.000000888661841,False,0.5182544572994858,12.171866284747454,8.886618410031133e-07,True
2011-01-21,Unconstrained,-0.28174580381926945,1.265196246307268,0.6284771340583136,True,True,True,0.09487590110627378,0,0,0.0020642151780821912,1.0000000000060534,1.0000000031602776,1.0000000969344116,1.0000004036912786,1.0000009768729259,False,0.564737009037245,13.073480651996066,9.768729258841091e-07,True
2011-01-24,Unconstrained,-0.2495218917071457,1.265196246307268,0.6284771340583136,True,True,True,0.10650354804144622,0,0,0.0018156425753424656,1.000000000004148,1.0000000017833917,1.0000000788231653,1.0000003645987103,1.0000009348796923,False,0.5455800263344895,12.722126421915586,9.348796923269731e-07,True
2011-01-25,Unconstrained,-0.28592130572561986,1.265196246307268,0.6284771340583136,True,True,True,0.0971268204740255,0,0,0.001766213835616438,1.0000000000085778,1.0000000023007525,1.0000000868186167,1.0000003879892947,1.0000009368259906,False,0.5547328609890307,12.951448969026789,9.368259905606635e-07,True
2011-01-26,Unconstrained,-0.24477562643543482,1.265196246307268,0.6284771340583136,True,True,True,0.09852114558664476,0,0,0.001623088191780822,1.0000000000016585,1.0000000010896026,1.0000000654302903,1.0000003290663497,1.0000008610428859,False,0.5260051715193037,13.111922463939706,8.610428858801811e-07,True
2011-01-27,Unconstrained,-0.22872871940586748,1.265196246307268,0.6284771340583136,True,True,True,0.0937066777828551,0,0,0.001583761890410958,1.0000000000004539,1.0000000007450212,1.0000000562702922,1.0000002995380597,1.0000008187354026,False,0.5123463892663622,13.46359873038467,8.187354025857019e-07,True
2011-01-28,Unconstrained,-0.21101508325611495,1.265196246307268,0.6284771340583136,True,True,True,0.14383545186282873,0,0,0.002187393287671233,1.0000000000269804,1.0000000033158707,1.0000000825990292,1.0000003482122346,1.000000874059797,False,0.5218122215437623,11.116744412578115,8.740597969847386e-07,True
2011-01-31,Unconstrained,-0.23621304092920012,1.265196246307268,0.6284771340583136,True,True,True,0.13236118663357463,0,0,0.002098733424657534,1.0000000000245637,1.0000000033453564,1.0000000839096677,1.0000003493275722,1.0000008803909948,False,0.5289438244660383,11.56021358647901,8.803909947729949e-07,True
2011-02-01,Unconstrained,-0.2137459390556396,1.265196246307268,0.6284771340583136,True,True,True,0.11677786132532178,0,0,0.0018243424931506844,1.000000000002228,1.0000000013197752,1.0000000590174611,1.0000002990514474,1.0000008123109256,False,0.5078022684936113,12.420587193507025,8.123109256352734e-07,True
2011-02-02,Unconstrained,-0.1954334145861208,1.265196246307268,0.6284771340583136,True,True,True,0.11970143731919299,0,0,0.0017614958630136992,1.0000000000012657,1.0000000009704602,1.0000000558084423,1.0000002899306393,1.0000007993697728,False,0.5010544647714704,12.374659539029443,7.993697728192473e-07,True
2011-02-03,Unconstrained,-0.1898617650851776,1.265196246307268,0.6284771340583136,True,True,True,0.10953299939461775,0,0,0.0017062420273972604,1.0000000000003273,1.0000000006881127,1.0000000522271237,1.0000002770880687,1.0000007816581964,False,0.495835994990915,12.901779542946574,7.816581963915326e-07,True
2011-02-04,Unconstrained,-0.1922938500438255,1.265196246307268,0.6284771340583136,True,True,True,0.09832389251547993,0,0,0.0015892444109589037,1.0000000000001015,1.0000000004742446,1.0000000456795888,1.0000002633546483,1.0000007707726366,False,0.4937981783465608,13.475280118853114,7.70772636604633e-07,True
2011-02-07,Unconstrained,-0.19487702103268925,1.265196246307268,0.6284771340583136,True,True,True,0.10736203421169659,0,0,0.0015989238082191781,1.0000000000003388,1.0000000005851624,1.0000000454402882,1.0000002560115884,1.0000007541104894,False,0.49041529037016707,12.977896230633382,7.541104893871164e-07,True
2011-02-08,Unconstrained,-0.2159213387166594,1.265196246307268,0.6284771340583136,True,True,True,0.09367069416079721,0,0,0.0015317097534246578,1.0000000000002238,1.000000000555182,1.0000000452714857,1.000000260227252,1.0000007397963713,False,0.4908705484199106,13.561463057833524,7.397963712740818e-07,True
2011-02-10,Unconstrained,-0.21302518109760657,1.265196246307268,0.6284771340583136,True,True,True,0.09445219046231298,0,0,0.0016072753150684926,1.000000000000207,1.0000000006269663,1.0000000476130109,1.0000002612582504,1.0000007403495523,False,0.4904894277880649,13.543531265733575,7.403495523305992e-07,True
2011-02-11,Unconstrained,-0.2364932057357592,1.265196246307268,0.6284771340583136,True,True,True,0.08822955227719312,0,0,0.0014839961917808215,1.0000000000003912,1.0000000006279623,1.0000000500346478,1.0000002659584863,1.0000007765375867,False,0.5035050568659398,13.680102733483066,7.765375866775059e-07,True
2011-02-14,Unconstrained,-0.19187504386040347,1.265196246307268,0.6284771340583136,True,True,True,0.11606490049306611,0,0,0.0014470587945205479,1.0000000000006855,1.000000000477491,1.000000041199766,1.000000241467862,1.0000007453316677,False,0.4878002456246085,12.598618784698244,7.453316677175081e-07,True
2011-02-15,Unconstrained,-0.24417038666924423,1.265196246307268,0.6284771340583136,True,True,True,0.1017660839375733,0,0,0.0015247231232876713,1.0000000000021085,1.0000000009514471,1.0000000573612877,1.0000002871857512,1.0000008112917422,False,0.5135273533528426,12.978800728693432,8.112917422309351e-07,True
2011-02-16,Unconstrained,-0.23183638968755857,1.265196246307268,0.6284771340583136,True,True,True,0.10859397245681389,0,0,0.0015959944931506845,1.0000000000022224,1.0000000010142136,1.0000000549078143,1.000000281654873,1.0000007885062716,False,0.5055845832695406,12.735910638290802,7.885062716095348e-07,True
2011-02-17,Unconstrained,-0.23488262103001822,1.265196246307268,0.6284771340583136,True,True,True,0.0978240084764632,0,0,0.0016458186575342463,1.0000000000009757,1.000000000978057,1.0000000599496188,1.0000002993330757,1.000000804880626,False,0.5101694960057617,13.20121157467672,8.048806259264296e-07,True
2011-02-18,Unconstrained,-0.30514473164540484,1.265196246307268,0.6284771340583136,True,True,True,0.06125034483241776,0,0,0.0016698327123287672,1.0000000000012137,1.0000000016042068,1.0000000853743847,1.00000036380956,1.000000882233271,False,0.5438764027989622,14.374741432707015,8.822332711044822e-07,True
2011-02-22,Unconstrained,-0.18367754116684998,1.265196246307268,0.6284771340583136,True,True,True,0.15520970748476892,0,0,0.0023527361917808232,1.0000000000295766,1.0000000034897645,1.0000000850279012,1.000000353041384,1.0000008875800102,False,0.5185949744134385,10.650744727085344,8.875800101559861e-07,True
2011-02-23,Unconstrained,-0.1697843894624973,1.265196246307268,0.6284771340583136,True,True,True,0.16179390545879935,0,0,0.0027468084657534244,1.000000000034673,1.000000004793118,1.0000000992862503,1.0000003790170007,1.0000009131499779,False,0.5208877828656467,10.362423842615634,9.131499778547436e-07,True
2011-02-24,Unconstrained,-0.16975184920199524,1.265196246307268,0.6284771340583136,True,True,True,0.15596509488001517,0,0,0.0025951098904109585,1.0000000000184568,1.0000000037212793,1.0000000956316164,1.000000378136984,1.0000009190138686,False,0.5221662931147947,10.670844149919716,9.190138685610805e-07,True
2011-02-25,Unconstrained,-0.21521994240780873,1.265196246307268,0.6284771340583136,True,True,True,0.12563589524597019,0,0,0.0021950640821917803,1.000000000005565,1.0000000025472184,1.0000000837163812,1.0000003674548679,1.0000008982353816,False,0.5284845060183218,11.991228304402142,8.982353816300304e-07,True
2011-02-28,Unconstrained,-0.22026927670302734,1.265196246307268,0.6284771340583136,True,True,True,0.12312519556530502,0,0,0.001941826027397261,1.0000000000053162,1.0000000018883,1.0000000761554848,1.0000003309215915,1.00000083702645,False,0.5150306832844875,12.098546201826027,8.370264499291125e-07,True
2011-03-01,Unconstrained,-0.14205267264219007,1.265196246307268,0.6284771340583136,True,True,True,0.16287715926846283,0,0,0.0024787534520547944,1.0000000000133653,1.000000002698699,1.0000000797550903,1.0000003322067275,1.0000008371289741,False,0.4978030526358513,10.398241287097585,8.371289741404553e-07,True
2011-03-02,Unconstrained,-0.14901951708542902,1.265196246307268,0.6284771340583136,True,True,True,0.1573372268841356,0,0,0.002457102575342465,1.00000000000938,1.0000000025657523,1.0000000787493384,1.0000003370349835,1.0000008431076777,False,0.5006967447410405,10.669964389184512,8.431076776727053e-07,True
2011-03-03,Unconstrained,-0.17669615181757908,1.265196246307268,0.6284771340583136,True,True,True,0.1256981295198329,0,0,0.0021434239726027403,1.0000000000009654,1.000000001456624,1.0000000691617017,1.0000003184485062,1.0000008207578803,False,0.5019960972206481,12.173251571298366,8.207578803265392e-07,True
2011-03-04,Unconstrained,-0.1797856920019869,1.265196246307268,0.6284771340583136,True,True,True,0.13103269353127783,0,0,0.0022142693424657533,1.0000000000019449,1.0000000018002297,1.0000000754955862,1.000000336510594,1.0000008532654807,False,0.509980782011224,11.903221011554674,8.53265480715848e-07,True
2011-03-07,Unconstrained,-0.1476638329183369,1.265196246307268,0.6284771340583136,True,True,True,0.15870338169409884,0,0,0.0024239451780821916,1.0000000000102556,1.000000002502298,1.0000000809010041,1.0000003429084674,1.0000008591365939,False,0.5038130431576578,10.607487591224968,8.591365938670492e-07,True
2011-03-08,Unconstrained,-0.15136968607666548,1.265196246307268,0.6284771340583136,True,True,True,0.1490464222695652,0,0,0.002306479890410959,1.0000000000040306,1.0000000019010642,1.0000000760501362,1.0000003323975788,1.0000008486614438,False,0.5024373131346168,11.094931125234192,8.486614437863693e-07,True
2011-03-09,Unconstrained,-0.14298397979865526,1.265196246307268,0.6284771340583136,True,True,True,0.15454669942206445,0,0,0.0023809884657534242,1.0000000000051923,1.000000002055749,1.0000000788502583,1.0000003394946002,1.00000085937133,False,0.5027498669787439,10.844876539350512,8.593713300975026e-07,True
2011-03-10,Unconstrained,-0.10624199783994127,1.265196246307268,0.6284771340583136,True,True,True,0.17645787235107988,0,0,0.002642866602739725,1.0000000000161289,1.0000000026987172,1.0000000805965334,1.0000003421345582,1.000000876865954,False,0.4973383404719588,9.773006494051664,8.76865954069217e-07,True
2011-03-11,Unconstrained,-0.09751344750942519,1.265196246307268,0.6284771340583136,True,True,True,0.16283525931902168,0,0,0.002386014246575342,1.0000000000018459,1.0000000013123618,1.000000065273483,1.0000003120009042,1.0000008404755674,False,0.4878968163551247,10.559089751914884,8.404755673652176e-07,True
2011-03-14,Unconstrained,-0.13156922754430317,1.265196246307268,0.6284771340583136,True,True,True,0.16696242659829996,0,0,0.0024838309315068493,1.0000000000138998,1.00000000258153,1.0000000852625843,1.0000003519086484,1.000000905987506,False,0.5096921713960046,10.220114160120607,9.059875059058697e-07,True
2011-03-15,Unconstrained,-0.14042645247323787,1.265196246307268,0.6284771340583136,True,True,True,0.18030604223360527,0,0,0.003207282739726027,1.0000000000932763,1.0000000071648691,1.0000001151490199,1.0000004132265214,1.0000009659648383,False,0.5244689897829249,9.452689893354327,9.659648383397723e-07,True
2011-03-16,Unconstrained,-0.1643678746066848,1.265196246307268,0.6284771340583136,True,True,True,0.19086651986357353,0,0,0.004728620712328765,1.0000000006326044,1.000000024907216,1.0000001883326681,1.0000005166378139,1.0000010721392907,False,0.5540732824946157,8.789040015263826,1.0721392906809513e-06,True
