index,horizon_days,maturity_years,n,mean_iv,median_iv,p10_iv,p90_iv,mean_total_variance
VIX9D,9.0,0.024657534246575342,3891,0.1753022873297353,0.15289999999999998,0.1075,0.2692,0.0009232846870227395
VIX,30.0,0.0821917808219178,3891,0.18177244924184013,0.1643,0.1225,0.2642,0.0030966180010773016
VIX3M,93.0,0.2547945205479452,3891,0.20069385762014907,0.1868,0.1454,0.2818,0.011189923111711958
VIX6M,186.0,0.5095890410958904,3891,0.21519128758673864,0.2027,0.162,0.294,0.025082839382135805
VIX1Y,365.0,1.0,3891,0.2265053199691596,0.21600000000000003,0.1759,0.2958,0.05339673923927011
