date,v_short,v_long,kappa,held_out_maturity,observed_total_variance,predicted_total_variance,held_out_relative_error,curve_calendar_free
2011-01-07,0.021799984883957485,0.08497795285523238,3.075211978959425,VIX6M,0.02677005764383562,0.02704614166084117,0.010313164830600331,True
2011-01-10,0.023904410471450373,0.0892874445233899,2.6876647606317685,VIX6M,0.026793422301369864,0.027356949299906067,0.021032288902765213,True
2011-01-11,0.02095647080590384,0.08552133431232249,3.036698012093071,VIX6M,0.0262817541369863,0.026843357389701276,0.021368560476891105,True
2011-01-12,0.020149891113157646,0.08498371787466458,2.490405825498897,VIX6M,0.024529761534246578,0.024591049087889158,0.002498497735374021,True
2011-01-13,0.021012579748192116,0.08745062135693642,2.247006237886615,VIX6M,0.024462725095890408,0.024405091518994327,-0.0023559753326812716,True
2011-01-14,0.018522938903628286,0.09629941864334603,1.7764522829289902,VIX6M,0.023184716547945204,0.022998217556466104,-0.00804404880661046,True
2011-01-18,0.0214825755330811,0.1147141031931416,1.1361604979942639,VIX6M,0.023097841808219173,0.02239012808235692,-0.030639820453286698,True
2011-01-19,0.02613536936063643,0.09784458247263789,1.543137037158996,VIX6M,0.024753878794520547,0.024557610347229256,-0.00792879568169881,True
2011-01-20,0.028357818554287324,0.10152149034254342,1.3486930758739262,VIX6M,0.025001584931506844,0.0247699544459208,-0.00926463207115099,True
2011-01-21,0.03089131332370093,0.17147257402673702,0.5249764265288884,VIX6M,0.025227842465753426,0.02452405891071461,-0.027897096471654146,True
2011-01-24,0.027689284952981005,0.11183400887352406,1.0863997460177652,VIX6M,0.0246192861369863,0.02406159843842648,-0.022652472352640278,True
2011-01-25,0.028134653047647885,0.12644299380859758,0.7896059625053617,VIX6M,0.024262166136986302,0.023189871250097083,-0.04419617279161924,True
2011-01-26,0.023709450220348753,0.08135393617340872,1.8539789281331958,VIX6M,0.02298947769863013,0.022452522525031708,-0.023356562538626877,True
2011-01-27,0.021390014405623606,0.07290646306008308,2.3514044829731464,VIX6M,0.022110502849315067,0.02185389721900718,-0.011605599024892138,True
2011-01-28,0.03723542622369606,1.370081086277055,0.03189527202749965,VIX6M,0.025432345643835615,0.02446469238644404,-0.038048132521591414,True
2011-01-31,0.035190531771918894,1.3281616236742522,0.03430651915554071,VIX6M,0.024395780383561643,0.023658671941910306,-0.030214587525472864,True
2011-02-01,0.02866506043948295,0.1279316282305718,0.6091645456192754,VIX6M,0.022687413698630143,0.021705720062862224,-0.043270407495905716,True
2011-02-02,0.02651063925228581,0.07920264116749941,1.7000814792358718,VIX6M,0.022946203397260275,0.022399466983830288,-0.02382687906859861,True
2011-02-03,0.022929082834881293,0.06825901392207184,2.7860541654761057,VIX6M,0.022472876712328765,0.022447518797865478,-0.0011283786578767188,True
2011-02-04,0.020148461376131677,0.06914376648916598,2.672130601176975,VIX6M,0.02162492054794521,0.021597343593236527,-0.0012752395851600895,True
2011-02-07,0.02259725276488109,0.07216618929751498,2.003283398635754,VIX6M,0.021123974136986304,0.020946166477786875,-0.008417339372145104,True
2011-02-08,0.02084819860001,0.06621995737729583,2.295315787356378,VIX6M,0.0205469562739726,0.02011495089492692,-0.02102527368459496,True
2011-02-09,0.020974208750219374,0.06777520980127757,2.1900268417646913,VIX6M,0.020567426465753425,0.020167914751754723,-0.019424487291296474,True
