regime,no_arbitrage_enforced,calibration_dates,rho,eta,gamma,global_skewness_rmse
Unconstrained,False,204,-0.2522863387498325,1.2651931777815297,0.6284773392641736,1.1390277029978166
No-arbitrage enforced,True,204,-0.5909223573690578,1.1257056427484857,0.5381008791607494,1.1453246789132818
